1E001University of Visvesvaraya College of EngineeringBangalore
AI Artificial Intelligence 500 1200 1500 2000 2500 3000 3500 4000 4500
CS Computer Science 450 1100 1400 1900 2400 2900 3400 3900 4400
EC Electronics and Communication 600 1300 1600 2100 2600 3100 3600 4100 4600
ME Mechanical Engineering 800 1500 1800 2300 2800 3300 3800 4300 4800
CV Civil Engineering 900 1600 1900 2400 2900 3400 3900 4400 4900

1E002RV College of EngineeringBangalore
AI Artificial Intelligence 300 800 1000 1500 2000 2500 3000 3500 4000
CS Computer Science 250 700 900 1400 1900 2400 2900 3400 3900
IS Information Science 350 850 1100 1600 2100 2600 3100 3600 4100
EC Electronics and Communication 400 900 1100 1600 2100 2600 3100 3600 4100
EE Electrical and Electronics 500 1000 1200 1700 2200 2700 3200 3700 4200

1E003BMS College of EngineeringBangalore
CS Computer Science 200 600 800 1300 1800 2300 2800 3300 3800
IS Information Science 250 650 850 1350 1850 2350 2850 3350 3850
EC Electronics and Communication 300 700 900 1400 1900 2400 2900 3400 3900
ME Mechanical Engineering 400 800 1000 1500 2000 2500 3000 3500 4000

1E004PES University College of EngineeringBangalore
AI Artificial Intelligence 350 900 1150 1650 2150 2650 3150 3650 4150
CS Computer Science 300 850 1050 1550 2050 2550 3050 3550 4050
DS Data Science 400 950 1200 1700 2200 2700 3200 3700 4200
EC Electronics and Communication 450 1000 1250 1750 2250 2750 3250 3750 4250

1E005Nitte Meenakshi Institute of TechnologyBangalore
CS Computer Science 600 1400 1700 2200 2700 3200 3700 4200 4700
IS Information Science 650 1450 1750 2250 2750 3250 3750 4250 4750
EC Electronics and Communication 700 1500 1800 2300 2800 3300 3800 4300 4800
ME Mechanical Engineering 850 1650 1950 2450 2950 3450 3950 4450 4950

2E001Government Engineering College MysoreMysooru
CS Computer Science 550 1350 1650 2150 2650 3150 3650 4150 4650
EC Electronics and Communication 650 1450 1750 2250 2750 3250 3750 4250 4750
ME Mechanical Engineering 750 1550 1850 2350 2850 3350 3850 4350 4850
CV Civil Engineering 850 1650 1950 2450 2950 3450 3950 4450 4950

2E002Sri Jayachamarajendra College of EngineeringMysooru
CS Computer Science 700 1500 1800 2300 2800 3300 3800 4300 4800
IS Information Science 750 1550 1850 2350 2850 3350 3850 4350 4850
EC Electronics and Communication 800 1600 1900 2400 2900 3400 3900 4400 4900
ME Mechanical Engineering 900 1700 2000 2500 3000 3500 4000 4500 5000
